item_code_i,item_code_j,score
386,12912,0.7625292539596558
388,138,0.9581962823867798
388,15172,0.756549596786499
388,37711,0.7452400922775269
388,34095,0.723080575466156
388,19329,0.7129616141319275
388,5683,0.7001188397407532
391,10659,0.9570103287696838
391,139,0.888847827911377
391,987,0.8674169182777405
391,266,0.8674169182777405
391,1780,0.8097105622291565
391,1447,0.8097104430198669
391,15917,0.7585979700088501
392,23,0.7985901832580566
392,395,0.7685526013374329
392,333,0.7512673735618591
395,317,0.7771680355072021
395,392,0.7685526013374329
403,9280,0.9999997615814209
403,26796,0.9165731072425842
403,4257,0.8427457809448242
403,14048,0.8201836347579956
403,15293,0.8168707489967346
403,6806,0.8041684627532959
403,24892,0.8000320792198181
403,42237,0.7966278791427612
403,13572,0.7949639558792114
410,43,0.857833743095398
411,1103,0.877045750617981
411,28728,0.8120853304862976
415,273,0.8099426627159119
415,49,0.7833014130592346
415,674,0.7515382170677185
415,342,0.7383422255516052
415,778,0.7125113010406494
415,1827,0.7074497938156128
426,207,0.9093297123908997
426,30,0.8753644227981567
426,954,0.8706400990486145
426,107,0.8436608910560608
426,5,0.836486279964447
426,179,0.8314409255981445
426,208,0.8157697916030884
426,6,0.8157697916030884
426,976,0.8125284910202026
427,926,0.9523681998252869
427,256,0.9202296137809753
427,255,0.9131929874420166
427,327,0.8889464139938354
427,303,0.8889464139938354
427,179,0.8794121742248535
427,976,0.8584928512573242
427,452,0.8496880531311035
427,977,0.8466089367866516
433,19,0.9350109696388245
434,30626,0.862635612487793
434,23503,0.8588095903396606
434,29224,0.8218587636947632
434,16378,0.8036760091781616
434,36370,0.7921242713928223
434,21207,0.7872130274772644
434,15815,0.7789350152015686
434,9438,0.7738063335418701
434,44969,0.7726062536239624
435,23225,0.7963683009147644
435,12178,0.7911821007728577
435,12169,0.7911821007728577
435,10460,0.7911821007728577
435,11066,0.7857216596603394
435,35287,0.7571157217025757
435,30191,0.7544199228286743
435,4041,0.7544199228286743
435,12509,0.7544199228286743
436,11638,0.9669020175933838
436,24602,0.9596734046936035
436,34897,0.8190551996231079
436,22546,0.8068905472755432
436,6395,0.7893701195716858
436,29667,0.7761281728744507
436,37502,0.7749187350273132
436,957,0.7747799754142761
436,37505,0.7675907015800476
438,443,0.7685288786888123
440,441,0.929473340511322
440,512,0.8841363787651062
440,632,0.7510688304901123
441,440,0.929473340511322
441,512,0.8174992799758911
441,632,0.7167112827301025
442,1965,0.9301220178604126
442,21973,0.8766194581985474
442,11897,0.8460165858268738
442,118,0.8448176383972168
442,1042,0.7310565710067749
442,699,0.7163287997245789
443,239,0.7818480730056763
443,438,0.7685288786888123
443,8851,0.7427887320518494
443,55,0.7265476584434509
444,2189,0.8179630041122437
444,1363,0.7033843398094177
445,753,0.8350417017936707
445,60,0.8226463198661804
445,2183,0.7469909191131592
445,650,0.7184779047966003
445,971,0.7015945911407471
446,19688,0.8576050400733948
446,1392,0.8266244530677795
446,702,0.8103196620941162
446,652,0.7846258878707886
446,465,0.7814570665359497
446,653,0.7723208069801331
446,8446,0.7202240228652954
446,777,0.7074533104896545
451,325,0.8748199343681335
451,226,0.8537185788154602
451,29,0.8535188436508179
451,205,0.830068826675415
451,104,0.7603508234024048
451,8767,0.7314232587814331
452,81,0.9169146418571472
452,926,0.8569908738136292
452,427,0.8496880531311035
452,255,0.8233293294906616
452,327,0.8163734078407288
452,303,0.8163734078407288
452,179,0.7881256341934204
452,256,0.7880092859268188
452,976,0.7842852473258972
453,4107,0.782243013381958
453,3885,0.740093469619751
453,14471,0.7375226020812988
453,14109,0.7349745631217957
453,13977,0.7220516800880432
453,29299,0.713904619216919
456,40150,0.904962420463562
456,24733,0.9009623527526855
456,10456,0.8883579969406128
456,4039,0.8883579969406128
456,983,0.8883579969406128
456,136,0.8856816291809082
456,17063,0.8825613260269165
456,34453,0.825721025466919
456,12281,0.7932864427566528
459,16946,0.8384138345718384
459,221,0.8384138345718384
459,40134,0.7786954045295715
459,34511,0.7786954045295715
459,33510,0.7732461094856262
459,21382,0.7671255469322205
459,35998,0.7609948515892029
459,41126,0.7607744336128235
459,23578,0.7219919562339783
460,270,0.9024412631988525
460,1290,0.893157958984375
460,1531,0.8096694946289062
460,1190,0.7569203972816467
460,461,0.7486149072647095
461,270,0.8587924838066101
461,12784,0.8445886373519897
461,1531,0.7946739196777344
461,1290,0.7547032237052917
461,460,0.7486149072647095
461,1190,0.7280807495117188
461,4264,0.7124279141426086
461,12791,0.7001505494117737
462,576,0.7741583585739136
462,1975,0.749313473701477
462,11159,0.7269046902656555
462,19502,0.7007383704185486
463,1180,0.7453100681304932
463,531,0.7243369221687317
464,1960,0.8877140879631042
465,446,0.7814570665359497
465,653,0.7776793241500854
465,652,0.7745732665061951
465,8446,0.7138726711273193
465,1392,0.7110245227813721
465,19688,0.70355623960495
465,777,0.7015739679336548
467,1432,0.7670573592185974
469,1371,0.7801706790924072
469,1351,0.7566619515419006
474,3489,0.8329532146453857
474,693,0.8046883940696716
474,174,0.8043983578681946
474,692,0.7948614954948425
474,15636,0.7898592948913574
474,615,0.7822320461273193
474,5907,0.7788596153259277
474,838,0.777191162109375
474,12922,0.7713237404823303
476,4731,0.7167858481407166
476,670,0.7154168486595154
476,1093,0.7057454586029053
477,916,0.7525023221969604
480,20280,0.9620136022567749
480,1200,0.8006719946861267
480,31254,0.7823480367660522
480,1199,0.7823480367660522
480,549,0.7705541849136353
480,21629,0.7676044702529907
480,1071,0.7655906081199646
480,1477,0.7630572319030762
480,29525,0.7597873210906982
481,12156,0.9585217237472534
481,1500,0.789517343044281
481,37168,0.7678989768028259
481,2169,0.7678989768028259
481,19629,0.7348818182945251
484,819,0.8836119771003723
484,823,0.8461174368858337
484,349,0.7885368466377258
484,723,0.7596949934959412
484,507,0.7494196891784668
484,1460,0.7262088060379028
484,28726,0.7086170315742493
484,920,0.7084288001060486
484,10257,0.7024286389350891
485,24672,0.9836716055870056
485,13729,0.9836716055870056
485,44574,0.840427815914154
485,27530,0.7422321438789368
